	2K H//ab		10K H//ab			50K H//ab			2K H//c				10K H//c			50K H//c
0	-0.00655300217691776	0	-0.00107349510141297	0	4.93394091483821E-4	0	-0.00313689797697608	1000	0.13916484079248	1000	0.0442786457909247
0	-0.00655027440938739	0	-0.00121369766558844	0	4.07367099560199E-5	0	-0.00311594431667016	1000	0.13917538628551	1000	0.0442028072919401
500	0.244545483950684	1000	0.141100993312751	1000	0.0340317214466709	500	0.114523257533035	2000	0.278407437020233	2000	0.0874645066645862
500	0.242179778347666	1000	0.141052765257961	1000	0.0340440057743292	500	0.116096598224223	2000	0.278268423987671	2000	0.0874366665629876
1000	0.495059342005372	2000	0.285263554161913	2000	0.0703725590373194	1000	0.235106470918429	3000	0.422711073131705	3000	0.131388359888016
1000	0.495053249053843	2000	0.285081234304643	2000	0.0704253333713263	1000	0.235056508715897	3000	0.418169902619926	3000	0.131364034950761
1500	0.744535242332779	3000	0.429123482795549	3000	0.106788021223532	1500	0.353518765674281	4000	0.560110035964701	4000	0.175246128021793
1500	0.74434167394961	3000	0.428868938028239	3000	0.106803394208927	1500	0.353419028744648	4000	0.557095899712495	4000	0.17517577786607
2000	0.991100586583962	4000	0.57208596653792	4000	0.142725749141067	2000	0.472372002645351	5000	0.696415923293516	5000	0.21915995130963
2000	0.990909830332268	4000	0.57207049981481	4000	0.143164441651106	2000	0.472248268860468	5000	0.696182985069702	5000	0.219084586186111
2500	1.23316370834429	5000	0.715392655172784	5000	0.179797234731449	2500	0.58995518730477	6000	0.835100405161274	6000	0.262959227108735
2500	1.23276251092058	5000	0.714848976421026	5000	0.179564483983067	2500	0.589884884017905	6000	0.834807474799335	6000	0.262928715482236
3000	1.47066461547564	6000	0.857775558618238	6000	0.216204401129812	3000	0.708109703342115	7000	0.973238396145799	7000	0.306789342616345
3000	1.47004407179691	6000	0.857045810500575	6000	0.216020956419951	3000	0.707888013644200	7000	0.972923906109221	7000	0.306731693921115
3500	1.70175714366492	7000	0.999074385380228	7000	0.252609739642716	3500	0.825568216839493	8000	1.11107267693107	8000	0.350712820888912
3500	1.70112910096892	7000	0.998157630519504	7000	0.252524953878757	3500	0.825399957639596	8000	1.11071413016805	8000	0.350631081600716
4000	1.92689920165392	8000	1.13934069120246	8000	0.288989019070623	4000	0.942214493029288	9000	1.24824657550838	9000	0.394567542546924
4000	1.92632365207878	8000	1.13842440503031	8000	0.288909857569612	4000	0.942023268089014	9000	1.24401244288477	9000	0.394461478321473
4500	2.14530807951554	9000	1.27868696134391	9000	0.325455146492237	4500	1.06057476335286	10000	1.38483180123034	10000	0.438477194506407
4500	2.14443866220131	9000	1.27744306185497	9000	0.325343411134979	4500	1.05828756308684	10000	1.38426421936104	10000	0.438258363808825
5000	2.35553552954035	10000	1.41668434575470	10000	0.36185064254498	5000	1.17472246072746	11000	1.52056260767259	11000	0.482272111501727
5000	2.35484327650902	10000	1.41551403037268	10000	0.361763982026704	5000	1.17432876232101	11000	1.51990878710474	11000	0.482191028377542
5500	2.55613799090472	11000	1.55372748021844	11000	0.398216798692672	5500	1.29026169449341	12800	1.76291912848344	12800	0.561339406107686
5500	2.55576913299297	11000	1.55244749170891	11000	0.398111343762374	5500	1.28993501855378	12800	1.76224421692953	12800	0.561133183132881
6000	2.75019662232766	12800	1.79605541102596	12800	0.46366001933700	6000	1.40520428769817	14600	2.00210825187671	14600	0.639923951477171
6000	2.74941156895767	12800	1.79479417005960	12800	0.463555642390434	6000	1.40492307455071	14600	2.00137381687326	14600	0.639716791125208
6500	2.93474649985778	14600	2.03306325777209	14600	0.528848039050006	6500	1.51934354867835	16400	2.23854336117918	16400	0.718765338188004
6500	2.93380912269958	14600	2.03141113053076	14600	0.528834447081212	6500	1.51894703814043	16400	2.23763785484435	16400	0.718540367670035
7000	3.10957671363448	16400	2.26434701090165	16400	0.590225151926333	7000	1.63254355774600	18200	2.47075558638394	18200	0.797345196671697
7000	3.10863746172196	16400	2.26253365478910	16400	0.594383357000128	7000	1.63217188770278	18200	2.46961526707098	18200	0.797055547129812
7500	3.27450869330912	18200	2.48725248699118	18200	0.659859620189282	7500	1.74528050249751	20000	2.69631290245402	20000	0.875783511204502
7500	3.27355772418212	18200	2.48695580712060	18200	0.661371609545466	7500	1.74485352720194	20000	2.69621025965520	20000	0.875374346074946
8000	3.43185776046246	20000	2.70770344099194	20000	0.725061231871083	8000	1.86159119766466	23000	3.06869441494513	23000	1.00575460369817
8000	3.43074978066147	20000	2.70575885207725	20000	0.724785174297992	8000	1.85703976287300	23000	3.06753534808901	23000	1.00562571433892
8500	3.57854978670418	23000	3.05622448660954	23000	0.833509676123801	8500	1.96824737679089	26857.14	3.52479308143548	26857.14	1.17363229109247
8500	3.57743008968871	23000	3.05378683730963	23000	0.833271582325617	8500	1.96776275280010	26857.14	3.52309970959918	26857.14	1.1728959813347
9000	3.71669808883745	26857.14	3.4743818752444	26857.14	0.97261644640133	9000	2.07793737708965	30714.29	3.9548964045745	30714.29	1.3393896313549
9000	3.71561166871109	26857.14	3.47169582099757	26857.14	0.972297269478962	9000	2.07748649867656	30714.29	3.95295228434838	30714.29	1.33853474338662
9500	3.84645311589615	30714.29	3.85732762830848	30714.29	1.11094800576902	9500	2.18707713699655	34571.43	4.35761191059368	34571.43	1.50435441923008
9500	3.84526639641386	30714.29	3.85493309835785	30714.29	1.11062367327229	9500	2.18646081151503	34571.43	4.3555998305236	34571.43	1.50338751469139
