# MSlice Cut of workspace "HYS_219483_4pixel_QE"
# Cut axis: DeltaE,-10.0,8.0,0.1
# Integration axis: |Q|,1.5,2.5,0.0
# (Energy Transfer (meV)) (Signal) (Error)
1.162011173e+00 1.236387993e-02 7.970372824e-05
1.262569832e+00 5.557754309e-03 5.382350000e-05
1.363128492e+00 1.565929777e-03 2.898003665e-05
1.463687151e+00 7.007496195e-04 1.976572298e-05
1.564245810e+00 6.697935887e-04 1.949197459e-05
1.664804469e+00 8.225329039e-04 2.178432271e-05
1.765363128e+00 1.099476324e-03 2.498595530e-05
1.865921788e+00 1.200320526e-03 2.613416579e-05
1.966480447e+00 1.019456654e-03 2.428240323e-05
2.067039106e+00 1.033383729e-03 2.484164480e-05
2.167597765e+00 1.317306071e-03 2.788054193e-05
2.268156425e+00 1.242173728e-03 2.732484572e-05
2.368715084e+00 7.116521711e-04 2.105153656e-05
2.469273743e+00 5.281705388e-04 1.863063015e-05
2.569832402e+00 5.582028122e-04 1.940192802e-05
2.670391061e+00 6.230718303e-04 2.036527154e-05
2.770949721e+00 5.858452274e-04 1.964337567e-05
2.871508380e+00 5.218661603e-04 1.891153343e-05
2.972067039e+00 4.417139111e-04 1.766133086e-05
3.072625698e+00 4.107589013e-04 1.712907161e-05
3.173184358e+00 6.259708019e-04 2.088718625e-05
3.273743017e+00 1.317155074e-03 2.946307901e-05
3.374301676e+00 2.730974847e-03 4.231775212e-05
3.474860335e+00 5.214162772e-03 5.843986189e-05
3.575418994e+00 7.629714300e-03 7.087679887e-05
3.675977654e+00 7.545745873e-03 7.096711552e-05
3.776536313e+00 4.326020846e-03 5.447163157e-05
3.877094972e+00 1.735134205e-03 3.501900142e-05
3.977653631e+00 9.138351523e-04 2.633951447e-05
4.078212291e+00 1.232801960e-03 3.014592232e-05
4.178770950e+00 2.356443798e-03 4.138567768e-05
4.279329609e+00 4.494287461e-03 5.702814031e-05
4.379888268e+00 5.435863421e-03 6.287487377e-05
4.480446927e+00 3.856064617e-03 5.338804338e-05
4.581005587e+00 2.861381258e-03 4.653536303e-05
4.681564246e+00 3.861523264e-03 5.439846241e-05
4.782122905e+00 4.258921489e-03 5.721404393e-05
4.882681564e+00 3.005986083e-03 4.870495279e-05
4.983240223e+00 2.323438106e-03 4.348568386e-05
5.083798883e+00 3.659525207e-03 5.435125322e-05
5.184357542e+00 6.337262419e-03 7.134949111e-05
5.284916201e+00 7.999270990e-03 8.051829432e-05
5.385474860e+00 5.533053711e-03 6.779407112e-05
5.486033520e+00 3.782259502e-03 5.688822326e-05
5.586592179e+00 4.968771126e-03 6.498588674e-05
5.687150838e+00 6.082137346e-03 7.237454193e-05
5.787709497e+00 3.213052918e-03 5.354591202e-05
5.888268156e+00 9.812782196e-04 3.224065688e-05
