sample_ID	paper_number	compound	chemical_family	Ln_ion	Ln_anisotropy	Ln_Kramers	concentration	coordination_number	number_of_ligands	coordination_elements	X_im_max	T_B3	T_B3H	H	Fit	Ueff	Ueff_2	Ueff_ff	tau0	tau0_ff	Hyst	T_hyst	DOI	reference	year	mol_cluster	mag_struct_cluster	mol_cluster_2	mag_struct_cluster_2	link_to_CIF
385	2014_36	Dy(TFI)3(H2O)2	Mixed Ligands	Dy3+	Oblate	Kramers	100	8	4	Oxygen	Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ic500501r	Zhu, J., Wang, C., Luan, F., Liu, T., Yan, P. & Li, G. 2014 Local Coordination Geometry Perturbed β-Diketone Dysprosium Single-Ion Magnets. Inorganic Chemistry 53, 8895–8901. (doi:10.1021/ic500501r)	2014	B	Unassigned	B	Unassigned	http://www.crystallography.net/cod/result/?doi=10.1021/ic500501r
386	2014_36	Dy(TFI)3(bpy)	Mixed Ligands	Dy3+	Oblate	Kramers	100	8	4	Oxygen+Nitrogen	T_B3 > 2K	12.5	NA	NA	Argand	48.8	NA	NA	3.99e-6	NA	Pinched Hysteresis	1.8	10.1021/ic500501r	Zhu, J., Wang, C., Luan, F., Liu, T., Yan, P. & Li, G. 2014 Local Coordination Geometry Perturbed β-Diketone Dysprosium Single-Ion Magnets. Inorganic Chemistry 53, 8895–8901. (doi:10.1021/ic500501r)	2014	B	II	B	III	http://www.crystallography.net/cod/result/?doi=10.1021/ic500501r
387	2014_36	[Dy(TFI)3(Phen)]·0.02CHCl3	Mixed Ligands	Dy3+	Oblate	Kramers	100	8	4	Oxygen+Nitrogen	T_B3 > 2K	13	NA	NA	Argand	57.9	NA	NA	3.1e-6	NA	Pinched Hysteresis	1.8	10.1021/ic500501r	Zhu, J., Wang, C., Luan, F., Liu, T., Yan, P. & Li, G. 2014 Local Coordination Geometry Perturbed β-Diketone Dysprosium Single-Ion Magnets. Inorganic Chemistry 53, 8895–8901. (doi:10.1021/ic500501r)	2014	B	II	B	III	http://www.crystallography.net/cod/result/?doi=10.1021/ic500501r
388	2014_37	Tb(Pc)2	LnPc2	Tb3+	Oblate	Non-Kramers	2	8	2	Nitrogen	T_B3 > 2K	45	NA	NA	Argand	765.4	NA	NA	7.33e-11	NA	Not Measured	NA	10.1021/ic501028f	Fukuda, T., Shigeyoshi, N., Yamamura, T. & Ishikawa, N. 2014 Magnetic Relaxations Arising from Spin–Phonon Interactions in the Nonthermally Activated Temperature Range for a Double-Decker Terbium Phthalocyanine Single Molecule Magnet. Inorganic Chemistry 53, 9080–9086. (doi:10.1021/ic501028f)	2014	D	III	F	VIII	NA
389	2014_38	[Tb(acac)3NIT2Py]·0.5H2O	Mixed Ligands	Tb3+	Oblate	Non-Kramers	100	8	6	Oxygen+Nitrogen	T_B3 > 2K	3	NA	NA	X''(T)	21.18	NA	NA	1e-7	NA	Not Measured	NA	10.1021/ic500779y	Lannes, A., Intissar, M., Suffren, Y., Reber, C. & Luneau, D. 2014 Terbium(III) and Yttrium(III) Complexes with Pyridine-Substituted Nitronyl Nitroxide Radical and Different β-Diketonate Ligands. Crystal Structures and Magnetic and Luminescence Properties. Inorganic Chemistry 53, 9548–9560. (doi:10.1021/ic500779y)	2014	B	II	E	III	http://www.crystallography.net/cod/result/?doi=10.1021/ic500779y
390	2014_39	[Pc–Dy–Pc*]0	LnPc2	Dy3+	Oblate	Kramers	100	8	2	Nitrogen	Not Measured	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pinched Hysteresis	3	10.1002/ejic.201402421	Klyatskaya, S., Eichhöfer, A. & Wernsdorfer, W. 2014 X-ray Crystallographic Analysis of a Tailor-Made Bis(phthalocyaninato)-TbIIISingle-Molecule Magnet as a Fundamental Unit for Supramolecular Spintronic Devices. European Journal of Inorganic Chemistry 2014, 4179–4185. (doi:10.1002/ejic.201402421)	2014	D	Unassigned	F	Unassigned	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=912132
391	2014_39	[Pc–Ho–Pc*]0	LnPc2	Ho3+	Oblate	Non-Kramers	100	8	2	Nitrogen	Not Measured	NA	NA	NA	NA	NA	NA	NA	NA	NA	Full Hysteresis	0.04	10.1002/ejic.201402421	Klyatskaya, S., Eichhöfer, A. & Wernsdorfer, W. 2014 X-ray Crystallographic Analysis of a Tailor-Made Bis(phthalocyaninato)-TbIIISingle-Molecule Magnet as a Fundamental Unit for Supramolecular Spintronic Devices. European Journal of Inorganic Chemistry 2014, 4179–4185. (doi:10.1002/ejic.201402421)	2014	D	Unassigned	F	Unassigned	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=912132
392	2014_40	[Nd(W5O18)2]9−	POM	Nd3+	Oblate	Kramers	100	8	2	Oxygen	Freq-dependent X''	NA	5.5	1000	X''(T)	74.02	NA	NA	3.55e-10	NA	Not Measured	NA	10.1021/ic501867d	Baldoví, J. J., Clemente-Juan, J. M., Coronado, E., Duan, Y., Gaita-Ariño, A. & Giménez-Saiz, C. 2014 Construction of a General Library for the Rational Design of Nanomagnets and Spin Qubits Based on Mononuclear f-Block Complexes. The Polyoxometalate Case. Inorganic Chemistry 53, 9976–9980. (doi:10.1021/ic501867d)	2014	B	II	E	VI	http://www.crystallography.net/cod/result/?doi=10.1021/ic501867d
393	2014_42	Dy[N(SiMe3)2]2	Other Families	Dy3+	Oblate	Kramers	100	3	3	Nitrogen	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ja500793x	Zhang, P., Zhang, L., Wang, C., Xue, S., Lin, S.-Y. & Tang, J. 2014 Equatorially Coordinated Lanthanide Single Ion Magnets. Journal of the American Chemical Society 136, 4484–4487. (doi:10.1021/ja500793x)	2014	B	Unassigned	C	Unassigned	http://www.crystallography.net/cod/result/?doi=10.1021/ja500793x
394	2014_42	Er[N(SiMe3)2]3	Other Families	Er3+	Prolate	Kramers	100	3	3	Nitrogen	T_B3 > 2K	13	NA	NA	Argand	122	NA	NA	9.33e-9	NA	Pinched Hysteresis	1.9	10.1021/ja500793x	Zhang, P., Zhang, L., Wang, C., Xue, S., Lin, S.-Y. & Tang, J. 2014 Equatorially Coordinated Lanthanide Single Ion Magnets. Journal of the American Chemical Society 136, 4484–4487. (doi:10.1021/ja500793x)	2014	C	II	D	VI	http://www.crystallography.net/cod/result/?doi=10.1021/ja500793x
