# MSlice Cut of workspace "HYS_219479_4pixel_QE"
# Cut axis: DeltaE,-10.0,8.0,0.1
# Integration axis: |Q|,1.5,2.5,0.0
# (Energy Transfer (meV)) (Signal) (Error)
1.162011173e+00 1.813333928e-02 9.649202443e-05
1.262569832e+00 8.641045466e-03 6.705065360e-05
1.363128492e+00 2.594316800e-03 3.713717812e-05
1.463687151e+00 9.466237833e-04 2.300727944e-05
1.564245810e+00 5.229768693e-04 1.738150425e-05
1.664804469e+00 4.643188444e-04 1.651868041e-05
1.765363128e+00 4.589736548e-04 1.660538454e-05
1.865921788e+00 4.872326801e-04 1.712844881e-05
1.966480447e+00 4.679667355e-04 1.697117436e-05
2.067039106e+00 4.681612718e-04 1.719671651e-05
2.167597765e+00 3.697564970e-04 1.541919794e-05
2.268156425e+00 3.077214529e-04 1.463627552e-05
2.368715084e+00 2.713887008e-04 1.405660374e-05
2.469273743e+00 2.728781513e-04 1.377458255e-05
2.569832402e+00 2.666577007e-04 1.377023861e-05
2.670391061e+00 2.649102131e-04 1.364855153e-05
2.770949721e+00 2.773292282e-04 1.413917521e-05
2.871508380e+00 2.777395628e-04 1.452087617e-05
2.972067039e+00 2.640550572e-04 1.419676533e-05
3.072625698e+00 3.138107607e-04 1.535537015e-05
3.173184358e+00 4.410338295e-04 1.799665528e-05
3.273743017e+00 1.077154854e-03 2.697548916e-05
3.374301676e+00 2.904161743e-03 4.367621108e-05
3.474860335e+00 6.480724865e-03 6.519437496e-05
3.575418994e+00 1.146139957e-02 8.672585786e-05
3.675977654e+00 1.296024319e-02 9.267456846e-05
3.776536313e+00 8.063425384e-03 7.377765398e-05
3.877094972e+00 3.564009043e-03 4.979209907e-05
3.977653631e+00 1.365577540e-03 3.153687644e-05
4.078212291e+00 4.931369420e-04 2.048984326e-05
4.178770950e+00 3.262545383e-04 1.712681393e-05
4.279329609e+00 4.061013457e-04 1.867389969e-05
4.379888268e+00 5.371471736e-04 2.170981048e-05
4.480446927e+00 8.294846098e-04 2.599149169e-05
4.581005587e+00 7.778350090e-04 2.537438294e-05
4.681564246e+00 6.313789006e-04 2.338689711e-05
4.782122905e+00 5.354889911e-04 2.217078080e-05
4.882681564e+00 5.370278548e-04 2.303933818e-05
4.983240223e+00 1.225171345e-03 3.239163859e-05
5.083798883e+00 3.521329043e-03 5.333382415e-05
5.184357542e+00 8.435277224e-03 8.201080662e-05
5.284916201e+00 1.368157766e-02 1.047563515e-04
5.385474860e+00 9.680614434e-03 8.884265771e-05
5.486033520e+00 4.999450888e-03 6.503484555e-05
5.586592179e+00 5.886792103e-03 7.050699162e-05
5.687150838e+00 9.325718832e-03 8.897451314e-05
5.787709497e+00 5.959688167e-03 7.218753464e-05
5.888268156e+00 1.648076750e-03 3.989507831e-05
5.988826816e+00 7.008132894e-04 2.887449830e-05
6.089385475e+00 5.607633799e-04 2.748437066e-05
6.189944134e+00 5.803449838e-04 2.726902271e-05
6.290502793e+00 4.259931298e-04 2.581432582e-05
6.391061453e+00 4.118549077e-04 2.666013371e-05
6.491620112e+00 4.058172378e-04 2.594512734e-05
6.592178771e+00 3.529555560e-04 2.681561916e-05
6.692737430e+00 3.894313203e-04 2.720652902e-05
6.793296089e+00 2.877492701e-04 2.583929090e-05
6.893854749e+00 2.369428957e-04 2.660396185e-05
6.994413408e+00 2.920875474e-04 2.850898167e-05
7.094972067e+00 2.502669887e-04 2.819495958e-05
7.195530726e+00 2.018122814e-04 2.992962572e-05
7.296089385e+00 2.044712642e-04 3.107811834e-05
7.396648045e+00 2.366138835e-04 3.256905916e-05
7.497206704e+00 1.483983512e-04 3.378114074e-05
7.597765363e+00 1.926244500e-04 3.532481730e-05
7.698324022e+00 1.673754517e-04 3.660009980e-05
7.798882682e+00 1.407658260e-04 3.977274134e-05
7.899441341e+00 1.574314042e-04 4.328329804e-05
8.000000000e+00 1.528816969e-04 4.601338238e-05
