	emu/mol Oe							
		Chi powder	1/Chi powder					Chi H//ab	1/Chi H//ab					Chi H//c	1/Chi H//c
1.992824	2.15192620266697	0.464699950565526	1.998033	2.47735972588329	0.403655548910425	349.9628	0.0301523682775858	33.1648907572996
1.994531	2.15096583523970	0.464907430707082	2.001232	2.47703517666563	0.40370843717533	349.3572	0.0300902147003848	33.2333953066547
2.137493	2.09415292675758	0.477520045084923	2.466907	2.27797572586912	0.438986240566048	348.4691	0.0301165946348418	33.2042852827425
2.230402	2.05875290029182	0.485730948992594	2.754220	2.17701957616923	0.459343595687659	347.6082	0.0303708470448582	32.9263124773236
2.329615	2.02431765673576	0.493993616403324	3.004722	2.08908537096673	0.478678379494491	346.7516	0.0302105692425117	33.1009982623175
2.438737	1.99056129360242	0.502370865551317	3.262743	2.00436921693183	0.498910076822443	345.9160	0.030400072609988	32.8946582736598
2.539495	1.95638214802697	0.511147579734619	3.519005	1.92750153025140	0.518806332604869	345.0123	0.030389894007966	32.905675805841
2.640668	1.92307064474788	0.520001697665716	3.761296	1.85697610443093	0.538509891222563	344.1577	0.0304330006220592	32.8590667880168
2.736288	1.89279257789424	0.528319907674465	4.098718	1.79602589686517	0.556784844664784	343.2907	0.0305190356074452	32.7664351148779
2.829426	1.86256197747667	0.53689488569651	4.665748	1.67109917885119	0.598408528144605	342.4337	0.0305520355420499	32.7310433579348
2.920166	1.83514514323394	0.544916026771471	4.957683	1.59311352513706	0.627701657302776	341.5812	0.0309715909505569	32.2876535983057
3.003107	1.81243079777303	0.551745203860318	5.235833	1.54625173486325	0.646725224265273	340.7654	0.0308773161444864	32.3862344551135
3.084230	1.78794915547182	0.559300020886842	5.532795	1.48594249506347	0.672973552692757	339.8727	0.0308843426633016	32.3788662398262
3.175902	1.76515533132727	0.566522380355088	5.819010	1.43195586700609	0.698345544748374	339.0652	0.0310931931922865	32.1613799462732
3.262078	1.74032596978515	0.57460499777720	6.141827	1.37735977752641	0.726026718883786	338.1121	0.0311534955460168	32.0991266781893
3.349213	1.71721423090606	0.58233852364033	6.458338	1.33204958998421	0.750722801552644	337.2813	0.031128300769829	32.1251072261948
3.434466	1.69441599127909	0.590173844644321	6.728702	1.29034569307043	0.774986118348226	336.4390	0.0311656692165765	32.0865883883577
3.515240	1.67287174866061	0.597774456290899	6.997017	1.25017578243803	0.799887515057964	335.6135	0.0313805205865076	31.8669028209162
3.606910	1.65225034186879	0.605235159987284	7.291139	1.21282111606322	0.82452390278788	334.7032	0.0316955412831887	31.550178968876
3.682161	1.63309597911242	0.612333881651887	7.564239	1.17798865107202	0.848904613036771	333.8998	0.0315677693389124	31.6778797153506
3.762902	1.61493178828970	0.61922120008490	7.851813	1.14339197549156	0.874590710303074	333.0176	0.0316524503044288	31.593130717595
3.914010	1.58655900210212	0.630294870014316	8.132961	1.11052611614600	0.900474095530885	332.1038	0.031781879594042	31.4644700934386
4.021554	1.56516819749788	0.638908969399345	8.420647	1.07858749188264	0.92713850988067	331.2618	0.0317615849313315	31.4845749090293
4.106272	1.54543761428515	0.647065912435782	8.979440	1.02285310869592	0.977657487178142	330.4240	0.0317171493139021	31.5286846905149
4.204764	1.52651947983848	0.655084991189111	9.282296	0.995930091079197	1.00408654076954	329.5603	0.0320140642945439	31.2362713712181
4.290855	1.50783646983091	0.663201892253038	9.561421	0.971691888232803	1.02913280650997	328.6909	0.0320971504560569	31.1554136672994
4.381099	1.48939520748606	0.671413467005774	9.839113	0.947278198439907	1.05565609094237	327.8362	0.0321076886707464	31.1451880032433
4.482631	1.47131159921758	0.679665680969135	10.11437	0.923907944545131	1.08235891454785	326.9611	0.0320405818199346	31.2104195117279
4.571031	1.45365298113242	0.687922092122001	10.38484	0.900988265242725	1.10989236883191	326.0907	0.0322311139923465	31.0259211095669
4.650362	1.43730907293909	0.695744581890897	10.64473	0.879368137922523	1.13718016024832	325.2495	0.032381213192671	30.8821042018998
4.738017	1.42073666353030	0.703860205532502	10.90793	0.859338234013287	1.16368614873540	324.3589	0.0324908481502414	30.7778976829379
4.835406	1.40405276319030	0.712223946433316	11.16838	0.841414512239964	1.18847486637455	323.4878	0.0326738440919703	30.6055203417511
4.921825	1.38807092455576	0.720424282584871	11.42589	0.825028164526923	1.21207983314534	322.6409	0.0326040792344862	30.6710087657459
4.969101	1.37521193586576	0.727160646239196	11.69347	0.804464685442512	1.24306264537881	321.8032	0.032782728553539	30.5038672533573
5.034887	1.36435868006697	0.732945093258699	11.95524	0.787541374775406	1.26977455665130	320.8835	0.0328697548190605	30.4231049335397
5.139044	1.34857222652970	0.741524984963776	12.23207	0.767891240879739	1.30226775194667	320.0455	0.032889111361769	30.4051997331378
5.249572	1.33374172493727	0.749770350063114	12.50200	0.750960138321186	1.33162860313139	319.1978	0.0330337069247483	30.2721097053391
5.335785	1.31737353159061	0.759086148324684	12.78596	0.736656258291828	1.35748524327862	318.3497	0.0331560690436795	30.1603908075656
5.406436	1.30218316818061	0.767941119525594	13.07277	0.72169514915781	1.38562660586947	317.5157	0.0331836497717391	30.1353228737259
5.506749	1.28839692818152	0.776158323670821	13.35216	0.708790083032133	1.41085495401135	316.6442	0.0332846540252908	30.0438754520376
5.592109	1.27535028148848	0.784098309707418	13.64163	0.695548610462679	1.43771403602517	315.7866	0.0334199934709167	29.9222081198261
5.682343	1.26252551278727	0.79206320179012	13.92780	0.682905758423088	1.46433089436692	314.9200	0.0336179055206779	29.7460530188269
